true/pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,26,0,23,0,634,12,0,0,2283,10,12
AM-DSB,0,228,9,304,457,448,340,0,692,0,522
AM-SSB,0,2,80,0,1952,38,0,0,891,0,37
BPSK,0,0,23,188,634,12,753,0,1381,1,8
CPFSK,0,1,18,0,1843,8,0,0,1116,0,14
GFSK,0,4,14,0,753,1432,1,0,729,0,67
PAM4,0,1,9,1,468,13,1403,0,1100,0,5
QAM16,0,0,9,0,397,7,0,0,2585,0,2
QAM64,0,0,4,0,245,4,1,0,2743,0,3
QPSK,13,0,22,0,643,10,0,0,2263,40,9
WBFM,0,105,10,263,529,643,314,0,672,0,464
