true/pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,0,0,0,0,3000,0,0,0,0,0,0
AM-DSB,0,0,0,0,3000,0,0,0,0,0,0
AM-SSB,0,0,0,0,3000,0,0,0,0,0,0
BPSK,0,0,0,0,3000,0,0,0,0,0,0
CPFSK,0,0,0,0,3000,0,0,0,0,0,0
GFSK,0,0,0,0,3000,0,0,0,0,0,0
PAM4,0,0,0,0,3000,0,0,0,0,0,0
QAM16,0,0,0,0,3000,0,0,0,0,0,0
QAM64,0,0,0,0,3000,0,0,0,0,0,0
QPSK,0,0,0,0,3000,0,0,0,0,0,0
WBFM,0,0,0,0,3000,0,0,0,0,0,0
